id,label,duration_s,n_spans,span_seconds,span_frac,frames_in_span_of8,n_words,empty_text,target,s0_valsel_vote,s0_valsel_pred,s0_valsel_err,s0_valsel_purity_true,s0_valsel_top1_sim,s0_valsel_top1_correct,s0_valsel_first_correct_rank,s0_valsel_wpurity_true,s0_valsel_head_img_pred,s0_valsel_head_txt_pred,s0_final_vote,s0_final_pred,s0_final_err,s0_final_purity_true,s0_final_top1_sim,s0_final_top1_correct,s0_final_first_correct_rank,s0_final_wpurity_true,s0_final_head_img_pred,s0_final_head_txt_pred,s1_valsel_vote,s1_valsel_pred,s1_valsel_err,s1_valsel_purity_true,s1_valsel_top1_sim,s1_valsel_top1_correct,s1_valsel_first_correct_rank,s1_valsel_wpurity_true,s1_valsel_head_img_pred,s1_valsel_head_txt_pred,s1_final_vote,s1_final_pred,s1_final_err,s1_final_purity_true,s1_final_top1_sim,s1_final_top1_correct,s1_final_first_correct_rank,s1_final_wpurity_true,s1_final_head_img_pred,s1_final_head_txt_pred,s2_valsel_vote,s2_valsel_pred,s2_valsel_err,s2_valsel_purity_true,s2_valsel_top1_sim,s2_valsel_top1_correct,s2_valsel_first_correct_rank,s2_valsel_wpurity_true,s2_valsel_head_img_pred,s2_valsel_head_txt_pred,s2_final_vote,s2_final_pred,s2_final_err,s2_final_purity_true,s2_final_top1_sim,s2_final_top1_correct,s2_final_first_correct_rank,s2_final_wpurity_true,s2_final_head_img_pred,s2_final_head_txt_pred,raw_img_pred,raw_txt_pred,raw_img_vote,raw_txt_vote,n_err_final_3seed,n_err_valsel_3seed
non_hate_video_23,0,51.944,0,0,0.0,,27,0,Blacks,-0.999971,0,0,1.0,0.999975,1,1,1.0,0,0,-0.999988,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999956,0,0,1.0,0.999969,1,1,1.0,1,0,-0.999986,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999989,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999989,0,0,1.0,0.999991,1,1,1.0,0,0,1,0,0.130663,-0.53473,0,0
non_hate_video_32,0,210.34,0,0,0.0,,176,0,Blacks,0.990442,1,1,0.05,0.999977,0,20,0.0048,1,1,0.847591,1,1,0.1,0.999978,0,9,0.0762,1,1,0.933265,1,1,0.05,0.999965,0,14,0.0333,1,1,0.885684,1,1,0.05,0.999979,0,9,0.0571,1,1,0.99998,1,1,0.0,0.999988,0,0,0.0,1,1,0.99998,1,1,0.0,0.999988,0,0,0.0,1,1,1,1,0.901552,0.951175,3,3
hate_video_23,1,179.653,1,155.0,0.8628,7,119,0,Blacks,0.990437,1,0,0.95,0.999967,1,1,0.9952,1,1,0.904734,1,0,0.95,0.999982,1,1,0.9524,1,1,0.999893,1,0,1.0,0.99993,1,1,1.0,1,1,0.999962,1,0,1.0,0.999979,1,1,1.0,1,1,0.857128,1,0,0.95,0.999988,1,1,0.9286,1,1,0.857128,1,0,0.95,0.999988,1,1,0.9286,1,1,1,1,0.726094,0.840595,0,0
non_hate_video_35,0,172.428,0,0,0.0,,236,0,Blacks,-0.866215,0,0,0.8,0.999742,1,1,0.9333,1,0,-0.999852,0,0,1.0,0.999897,1,1,1.0,1,0,-0.495046,0,0,0.8,0.999772,1,1,0.7476,1,0,-0.837961,0,0,0.9,0.999934,1,1,0.919,1,0,-0.837238,0,0,0.9,0.999814,1,1,0.919,1,0,-0.837238,0,0,0.9,0.999814,1,1,0.919,1,0,1,1,0.056556,0.283789,0,0
hate_video_25,1,191.16,1,167.0,0.8736,6,468,0,Blacks,0.628051,1,0,0.8,0.999826,1,1,0.8143,1,1,0.570688,1,0,0.8,0.999818,1,1,0.7857,1,1,0.672377,1,0,0.8,0.998863,1,1,0.8381,1,1,0.808532,1,0,0.9,0.999839,1,1,0.9048,1,1,0.799814,1,0,0.9,0.999915,1,1,0.9,1,1,0.799814,1,0,0.9,0.999915,1,1,0.9,1,1,1,1,0.880192,0.742211,0,0
non_hate_video_51,0,85.282,0,0,0.0,,269,0,Others,-0.999981,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999997,1,1,1.0,0,0,-0.999969,0,0,1.0,0.999977,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999994,1,1,1.0,0,0,-0.999995,0,0,1.0,0.999997,1,1,1.0,0,0,-0.999995,0,0,1.0,0.999997,1,1,1.0,0,0,0,0,-0.560682,-0.831711,0,0
non_hate_video_53,0,50.222,0,0,0.0,,0,1,Others,-0.999951,0,0,1.0,0.999975,1,1,1.0,0,0,-0.999979,0,0,1.0,0.99999,1,1,1.0,0,0,-0.99995,0,0,1.0,0.99997,1,1,1.0,0,0,-0.971398,0,0,0.95,0.999991,1,1,0.9857,0,0,-0.895198,0,0,0.95,0.999977,1,1,0.9476,0,0,-0.895198,0,0,0.95,0.999977,1,1,0.9476,0,0,0,0,-0.851928,-0.936839,0,0
hate_video_36,1,24.405,1,17.0,0.6966,4,20,0,Blacks,-0.99997,0,1,0.0,0.999979,0,0,0.0,0,0,-0.999989,0,1,0.0,0.999993,0,0,0.0,0,0,-0.999962,0,1,0.0,0.999967,0,0,0.0,0,0,-0.999988,0,1,0.0,0.999994,0,0,0.0,0,0,-0.999991,0,1,0.0,0.999994,0,0,0.0,0,0,-0.999991,0,1,0.0,0.999994,0,0,0.0,0,0,0,0,-0.473143,-0.71205,3,3
hate_video_44,1,296.337,1,289.0,0.9752,7,154,0,Blacks,0.6824,1,0,0.85,0.999037,1,1,0.8429,1,1,0.415367,1,0,0.75,0.999154,1,1,0.7095,1,1,0.653634,1,0,0.8,0.998631,1,1,0.8286,1,1,0.387004,1,0,0.75,0.999797,0,2,0.6952,1,1,0.875814,1,0,0.95,0.999924,1,1,0.9381,1,1,0.875814,1,0,0.95,0.999924,1,1,0.9381,1,1,1,1,0.384634,0.600055,0,0
hate_video_45,1,130.729,1,129.0,0.9868,7,223,0,Blacks,0.837932,1,0,0.95,0.999911,1,1,0.919,0,1,0.999782,1,0,1.0,0.99994,1,1,1.0,0,1,0.666273,1,0,0.9,0.999804,1,1,0.8333,0,1,0.999839,1,0,1.0,0.999939,1,1,1.0,0,1,0.999953,1,0,1.0,0.999975,1,1,1.0,0,1,0.999953,1,0,1.0,0.999975,1,1,1.0,0,1,0,1,-0.250678,0.871455,0,0
non_hate_video_63,0,90.1,0,0,0.0,,1,1,Others,-0.999952,0,0,1.0,0.999968,1,1,1.0,0,0,-0.999982,0,0,1.0,0.999989,1,1,1.0,0,0,-0.999953,0,0,1.0,0.999962,1,1,1.0,0,0,-0.999973,0,0,1.0,0.999983,1,1,1.0,0,0,-0.999979,0,0,1.0,0.999986,1,1,1.0,0,0,-0.999979,0,0,1.0,0.999986,1,1,1.0,0,0,0,0,-0.131115,-0.904473,0,0
hate_video_53,1,181.07,9,73.0,0.4032,5,324,0,"Blacks,Jews",0.952339,1,0,0.95,0.999964,1,1,0.9762,1,1,0.999945,1,0,1.0,0.999957,1,1,1.0,1,1,0.99981,1,0,1.0,0.999961,1,1,1.0,1,1,0.999951,1,0,1.0,0.999974,1,1,1.0,1,1,0.971403,1,0,0.95,0.999984,1,1,0.9857,1,1,0.971403,1,0,0.95,0.999984,1,1,0.9857,1,1,1,1,0.893268,0.979473,0,0
hate_video_54,1,182.059,7,77.0,0.4229,3,89,0,Blacks,0.999951,1,0,1.0,0.999968,1,1,1.0,1,1,0.999954,1,0,1.0,0.999974,1,1,1.0,1,1,0.999883,1,0,1.0,0.999906,1,1,1.0,1,1,0.933299,1,0,0.95,0.999983,1,1,0.9667,1,1,0.999978,1,0,1.0,0.999986,1,1,1.0,1,1,0.999978,1,0,1.0,0.999986,1,1,1.0,1,1,1,1,0.434045,0.898982,0,0
non_hate_video_71,0,4.749,0,0,0.0,,2,0,Others,-0.999956,0,0,1.0,0.999969,1,1,1.0,0,0,-0.999973,0,0,1.0,0.999983,1,1,1.0,0,0,-0.999952,0,0,1.0,0.999972,1,1,1.0,0,0,-0.999975,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999974,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999974,0,0,1.0,0.999991,1,1,1.0,0,0,0,0,-0.445091,-0.851347,0,0
non_hate_video_72,0,432.933,0,0,0.0,,331,0,Blacks,-0.790202,0,0,0.9,0.999849,1,1,0.8952,1,0,-0.914111,0,0,0.9,0.999945,1,1,0.9571,0,0,-0.495113,0,0,0.8,0.999904,0,2,0.7476,0,0,-0.914057,0,0,0.9,0.99991,1,1,0.9571,0,0,-0.692824,0,0,0.9,0.999832,1,1,0.8476,0,0,-0.692824,0,0,0.9,0.999832,1,1,0.8476,0,0,0,1,-0.343601,0.240153,0,0
non_hate_video_82,0,20.886,0,0,0.0,,2,0,Others,-0.999941,0,0,1.0,0.999961,1,1,1.0,0,0,-0.999973,0,0,1.0,0.999982,1,1,1.0,0,0,-0.876139,0,0,0.9,0.999964,1,1,0.9381,0,0,-0.999966,0,0,1.0,0.999985,1,1,1.0,0,0,-0.999955,0,0,1.0,0.99998,1,1,1.0,0,0,-0.999955,0,0,1.0,0.99998,1,1,1.0,0,0,0,0,-0.626287,-0.939052,0,0
non_hate_video_84,0,103.76,0,0,0.0,,293,0,Others,-0.999972,0,0,1.0,0.999984,1,1,1.0,0,0,-0.999987,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999966,0,0,1.0,0.999977,1,1,1.0,0,0,-0.999987,0,0,1.0,0.999993,1,1,1.0,0,0,-0.999989,0,0,1.0,0.999995,1,1,1.0,0,0,-0.999989,0,0,1.0,0.999995,1,1,1.0,0,0,0,0,-0.940242,-0.90959,0,0
non_hate_video_94,0,130.402,0,0,0.0,,266,0,Others,-0.999976,0,0,1.0,0.999993,1,1,1.0,0,0,-0.99999,0,0,1.0,0.999997,1,1,1.0,0,0,-0.999966,0,0,1.0,0.999979,1,1,1.0,0,0,-0.999981,0,0,1.0,0.999996,1,1,1.0,0,0,-0.999993,0,0,1.0,0.999998,1,1,1.0,0,0,-0.999993,0,0,1.0,0.999998,1,1,1.0,0,0,0,0,-0.54405,-0.918002,0,0
hate_video_71,1,179.8,2,101.0,0.5617,4,22,0,Jews,-0.85703,0,1,0.05,0.999908,0,6,0.0714,1,0,-0.999941,0,1,0.0,0.999964,0,0,0.0,1,0,-0.761835,0,1,0.1,0.999919,0,7,0.119,1,0,-0.866618,0,1,0.1,0.999963,0,10,0.0667,1,0,-0.838001,0,1,0.1,0.999959,0,9,0.081,0,0,-0.838001,0,1,0.1,0.999959,0,9,0.081,0,0,1,0,0.229744,-0.104026,3,3
non_hate_video_115,0,11.812,0,0,0.0,,1,1,Others,-0.809328,0,0,0.95,0.999918,0,2,0.9048,0,0,-0.999945,0,0,1.0,0.999988,1,1,1.0,0,0,-0.809455,0,0,0.9,0.999944,1,1,0.9048,0,0,-0.838043,0,0,0.9,0.999986,1,1,0.919,0,0,-0.809387,0,0,0.9,0.999969,1,1,0.9048,0,0,-0.809387,0,0,0.9,0.999969,1,1,0.9048,0,0,0,0,-0.838837,-0.966894,0,0
non_hate_video_119,0,14.78,0,0,0.0,,0,1,Others,-0.999938,0,0,1.0,0.999963,1,1,1.0,0,0,-0.999976,0,0,1.0,0.999987,1,1,1.0,0,0,-0.99995,0,0,1.0,0.999963,1,1,1.0,0,0,-0.999965,0,0,1.0,0.999983,1,1,1.0,0,0,-0.999969,0,0,1.0,0.999988,1,1,1.0,0,0,-0.999969,0,0,1.0,0.999988,1,1,1.0,0,0,0,0,-0.63532,-0.937251,0,0
non_hate_video_120,0,139.516,0,0,0.0,,332,0,Others,-0.999976,0,0,1.0,0.999985,1,1,1.0,0,0,-0.999989,0,0,1.0,0.999994,1,1,1.0,0,0,-0.999962,0,0,1.0,0.99997,1,1,1.0,0,0,-0.999986,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999994,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999994,1,1,1.0,0,0,1,0,0.160322,-0.638576,0,0
non_hate_video_121,0,82.839,0,0,0.0,,167,0,Others,0.095611,1,1,0.5,0.99635,1,1,0.4524,1,0,0.117313,1,1,0.55,0.999267,0,2,0.4429,1,1,-0.380796,0,0,0.6,0.999766,1,1,0.6905,1,0,0.381221,1,1,0.4,0.999682,0,5,0.3095,1,1,-0.747807,0,0,0.8,0.999581,1,1,0.8762,1,0,-0.747807,0,0,0.8,0.999581,1,1,0.8762,1,0,1,1,0.248847,0.098502,2,1
non_hate_video_127,0,170.034,0,0,0.0,,24,0,Others,-0.475392,0,0,0.8,0.999319,0,2,0.7381,1,0,-0.446923,0,0,0.8,0.999658,0,2,0.7238,1,0,-0.418839,0,0,0.7,0.999821,1,1,0.7095,1,0,-0.266392,0,0,0.75,0.999853,0,2,0.6333,1,0,-0.552047,0,0,0.8,0.999609,1,1,0.7762,1,0,-0.552047,0,0,0.8,0.999609,1,1,0.7762,1,0,1,0,0.877262,-0.066311,0,0
hate_video_87,1,473.75,3,65.0,0.1372,0,437,0,Blacks,0.741694,1,0,0.85,0.999546,1,1,0.8714,1,1,0.807878,1,0,0.85,0.999229,1,1,0.9048,1,1,0.299863,1,0,0.65,0.998952,0,3,0.6524,1,1,0.502374,1,0,0.8,0.999829,0,2,0.7524,1,1,0.790311,1,0,0.9,0.999952,1,1,0.8952,1,1,0.790311,1,0,0.9,0.999952,1,1,0.8952,1,1,1,1,0.425043,0.524856,0,0
hate_video_88,1,126.284,7,31.0,0.2455,2,291,0,Blacks,0.98085,1,0,0.95,0.999957,1,1,0.9905,1,1,0.999895,1,0,1.0,0.999964,1,1,1.0,1,1,0.999698,1,0,1.0,0.999832,1,1,1.0,1,1,0.933215,1,0,0.95,0.999965,1,1,0.9667,1,1,0.80947,1,0,0.95,0.999975,0,2,0.9048,1,1,0.80947,1,0,0.95,0.999975,0,2,0.9048,1,1,1,1,0.209625,0.977969,0,0
non_hate_video_134,0,451.28,0,0,0.0,,579,0,Others,0.551925,1,1,0.25,0.999761,0,2,0.2238,0,1,0.68515,1,1,0.1,0.999852,0,4,0.1571,1,1,0.864722,1,1,0.05,0.999052,0,7,0.0667,0,1,0.590317,1,1,0.15,0.999893,0,3,0.2048,1,1,0.904685,1,1,0.05,0.999956,0,11,0.0476,1,1,0.904685,1,1,0.05,0.999956,0,11,0.0476,1,1,0,1,-0.435733,0.677565,3,3
hate_video_89,1,156.023,7,99.0,0.6345,5,320,0,Blacks,0.971384,1,0,0.95,0.999968,1,1,0.9857,1,1,0.999951,1,0,1.0,0.99997,1,1,1.0,1,1,0.885594,1,0,0.95,0.999889,1,1,0.9429,1,1,0.999954,1,0,1.0,0.999972,1,1,1.0,1,1,0.999971,1,0,1.0,0.999978,1,1,1.0,1,1,0.999971,1,0,1.0,0.999978,1,1,1.0,1,1,1,1,0.146437,0.853387,0,0
non_hate_video_136,0,59.2,0,0,0.0,,88,0,Others,-0.999969,0,0,1.0,0.999981,1,1,1.0,0,0,-0.999988,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999957,0,0,1.0,0.999969,1,1,1.0,0,0,-0.999987,0,0,1.0,0.999993,1,1,1.0,0,0,-0.999986,0,0,1.0,0.999992,1,1,1.0,0,0,-0.999986,0,0,1.0,0.999992,1,1,1.0,0,0,0,0,-0.591775,-0.788379,0,0
non_hate_video_137,0,31.881,0,0,0.0,,0,1,Others,-0.999971,0,0,1.0,0.999984,1,1,1.0,0,0,-0.99999,0,0,1.0,0.999995,1,1,1.0,0,0,-0.999952,0,0,1.0,0.999976,1,1,1.0,0,0,-0.999987,0,0,1.0,0.999991,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999996,1,1,1.0,0,0,-0.999991,0,0,1.0,0.999996,1,1,1.0,0,0,0,0,-0.693049,-0.93166,0,0
non_hate_video_139,0,523.809,0,0,0.0,,566,0,Others,-0.999869,0,0,1.0,0.999945,1,1,1.0,0,0,-0.809471,0,0,0.95,0.999957,0,2,0.9048,0,0,-0.828492,0,0,0.9,0.999942,1,1,0.9143,0,0,-0.933291,0,0,0.95,0.999982,1,1,0.9667,0,0,-0.999922,0,0,1.0,0.999974,1,1,1.0,0,0,-0.999922,0,0,1.0,0.999974,1,1,1.0,0,0,0,1,-0.729594,0.269508,0,0
hate_video_93,1,47.68,3,7.0,0.1468,2,92,0,Blacks,0.99981,1,0,1.0,0.999869,1,1,1.0,1,1,0.714151,1,0,0.9,0.999912,1,1,0.8571,1,1,0.837763,1,0,0.95,0.999768,1,1,0.919,1,1,0.999882,1,0,1.0,0.999972,1,1,1.0,1,1,0.895173,1,0,0.95,0.999971,1,1,0.9476,1,1,0.895173,1,0,0.95,0.999971,1,1,0.9476,1,1,1,1,0.911702,0.81388,0,0
non_hate_video_140,0,181.995,0,0,0.0,,189,0,Others,0.348612,1,1,0.3,0.996821,0,2,0.3238,1,1,0.323016,1,1,0.3,0.99727,0,2,0.3333,0,1,0.28374,1,1,0.35,0.99793,0,4,0.3571,1,1,0.427173,1,1,0.3,0.999438,0,4,0.2857,0,1,0.42721,1,1,0.25,0.999513,1,1,0.2857,0,1,0.42721,1,1,0.25,0.999513,1,1,0.2857,0,1,1,1,0.017067,0.300262,3,3
non_hate_video_141,0,3.39,0,0,0.0,,0,1,Others,-0.999957,0,0,1.0,0.999975,1,1,1.0,1,0,-0.999984,0,0,1.0,0.999989,1,1,1.0,1,0,-0.999951,0,0,1.0,0.99997,1,1,1.0,1,0,-0.999982,0,0,1.0,0.999991,1,1,1.0,1,0,-0.999984,0,0,1.0,0.999991,1,1,1.0,1,0,-0.999984,0,0,1.0,0.999991,1,1,1.0,1,0,0,0,-0.026846,-0.906916,0,0
non_hate_video_144,0,43.488,0,0,0.0,,6,0,Blacks,-0.999955,0,0,1.0,0.999975,1,1,1.0,0,0,-0.999969,0,0,1.0,0.999987,1,1,1.0,0,0,-0.999954,0,0,1.0,0.999963,1,1,1.0,0,0,-0.999979,0,0,1.0,0.999987,1,1,1.0,0,0,-0.99998,0,0,1.0,0.999987,1,1,1.0,0,0,-0.99998,0,0,1.0,0.999987,1,1,1.0,0,0,0,0,-0.30757,-0.789851,0,0
non_hate_video_147,0,13.305,0,0,0.0,,0,1,Others,-0.999946,0,0,1.0,0.999959,1,1,1.0,0,0,-0.999974,0,0,1.0,0.999989,1,1,1.0,0,0,-0.999951,0,0,1.0,0.999962,1,1,1.0,0,0,-0.999971,0,0,1.0,0.99999,1,1,1.0,0,0,-0.999983,0,0,1.0,0.999993,1,1,1.0,0,0,-0.999983,0,0,1.0,0.999993,1,1,1.0,0,0,0,0,-0.532489,-0.931037,0,0
non_hate_video_149,0,179.932,0,0,0.0,,405,0,Others,0.531512,1,1,0.15,0.999247,1,1,0.2333,0,1,0.655058,1,1,0.15,0.999681,0,3,0.1714,0,1,0.719195,1,1,0.15,0.997398,0,4,0.1381,0,1,0.578912,1,1,0.2,0.999737,1,1,0.2095,0,1,0.856804,1,1,0.05,0.999855,0,6,0.0714,0,1,0.856804,1,1,0.05,0.999855,0,6,0.0714,0,1,0,1,-0.206819,0.968303,3,3
hate_video_101,1,97.834,1,8.0,0.0818,0,31,0,Blacks,0.999915,1,0,1.0,0.999959,1,1,1.0,1,1,0.999925,1,0,1.0,0.999966,1,1,1.0,1,1,0.856967,1,0,0.95,0.999896,1,1,0.9286,1,1,0.99992,1,0,1.0,0.999976,1,1,1.0,1,1,0.999971,1,0,1.0,0.999985,1,1,1.0,1,1,0.999971,1,0,1.0,0.999985,1,1,1.0,1,1,1,1,0.548821,0.7853,0,0
hate_video_102,1,121.046,8,39.0,0.3222,0,287,0,Blacks,0.999882,1,0,1.0,0.999961,1,1,1.0,1,1,0.999871,1,0,1.0,0.999947,1,1,1.0,1,1,0.818847,1,0,0.95,0.999925,1,1,0.9095,1,1,0.999843,1,0,1.0,0.999932,1,1,1.0,1,1,0.81898,1,0,0.95,0.99996,1,1,0.9095,1,1,0.81898,1,0,0.95,0.99996,1,1,0.9095,1,1,1,1,0.477975,0.968268,0,0
non_hate_video_162,0,141.767,0,0,0.0,,3,0,Others,-0.999934,0,0,1.0,0.99996,1,1,1.0,1,0,-0.999968,0,0,1.0,0.999982,1,1,1.0,1,0,-0.999951,0,0,1.0,0.999974,1,1,1.0,1,0,-0.999964,0,0,1.0,0.999979,1,1,1.0,1,0,-0.999957,0,0,1.0,0.999979,1,1,1.0,1,0,-0.999957,0,0,1.0,0.999979,1,1,1.0,1,0,1,0,0.035943,-0.79899,0,0
non_hate_video_165,0,398.037,0,0,0.0,,981,0,Others,-0.999949,0,0,1.0,0.999967,1,1,1.0,0,0,-0.999972,0,0,1.0,0.999987,1,1,1.0,0,0,-0.999943,0,0,1.0,0.999968,1,1,1.0,0,0,-0.999974,0,0,1.0,0.999986,1,1,1.0,0,0,-0.999973,0,0,1.0,0.999988,1,1,1.0,0,0,-0.999973,0,0,1.0,0.999988,1,1,1.0,0,0,0,0,-0.054498,-0.694662,0,0
non_hate_video_167,0,45.0,0,0,0.0,,7,0,Others,-0.151232,0,0,0.6,0.997328,1,1,0.5762,0,0,0.336354,1,1,0.35,0.99584,0,5,0.3286,1,0,0.038154,1,1,0.6,0.999777,0,2,0.481,0,0,0.531799,1,1,0.3,0.999607,0,5,0.2333,0,0,0.513715,1,1,0.35,0.999778,0,8,0.2429,0,0,0.513715,1,1,0.35,0.999778,0,8,0.2429,0,0,0,1,-0.476498,0.355324,3,2
