2026/08/06 08:25:44 INFO  : Using sha1 for hash comparisons
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_HteYonqdDQpG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_4yee1Mr43VsZ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_IJpOysLrnR6G.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_5AGwQFvbnvLx.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_IK1ulUjZFCxb.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_5bmNcjtNGQqi.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_IVZ7jXxCeokA.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_5oohHTlN52w4.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_IZ0vKg6zRxQC.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_5u5WDGSqZfNW.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Ij7rvSiEYBRd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_6V0WfQmyP216.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_JMrfHzdZBKaz.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_6VJNfqBDbOdK.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_JRVaNPqblBnA.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_6aHW6jocI9kJ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Jl81Ars8alKV.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_6bbEQLuR9tFk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_JpV0qMwnpAZN.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_6eci5TdlxMW7.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_K23yxFQKOgv4.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_70K5DyQOTWax.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_KVViBkUN5hMP.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_7EOOUGa9y9h4.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Kvbks8RXWgKm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_7X9rlRkvRLze.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LDGITUccIrhf.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_8Dj3WU8Lx0Ep.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LJWvVYtD4y8P.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_8GlJta4iOz3v.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LV9tLwq76DPc.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_8XOwi182kKkm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LZ6oTX9mW0M3.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_8zPjt3nHnDmV.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LbrfiRl0jNwY.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_917GIRtT5kVH.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Ln0BHOrsIUKr.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_96vVEZz68imd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_LwGfLS6KVsz5.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_9MLGFR9A3dtU.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_MSThJCCEO13y.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_9uMqeIwTlskd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_9wQoXroai6Tn.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_MzqKLgoFVMDt.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_AxrVklzh9Cyf.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BA0enjWSQ4sY.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BZeQ0Y2J8UoQ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_N01lBSoPKrp8.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BazwTAe1PNbk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NMjrQoXdTqVk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_BezrmZTIDfHL.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NOA6dpm1SbOn.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_C4MbEUOgiVqN.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NUUbOHG3A0tJ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_CQw1txUrWynU.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NXrAD0NRxzI.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_CrnBJv1YrtPt.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_DFOUVueqhH8D.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_NazwW5yYFsZD.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_O1kfCUve96Vz.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_O4o6tjAapmg1.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_OLacYcvDGzqm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_OcfP9r2O0lPj.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_P5pASHk14L0L.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_PE4PlPE0wso.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Q5Q5TuHiZ1p4.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_QBLaDo1eggoT.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_QR9jyRugyFak.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_QTc8bLlrQYIB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_QlKI556vSwXh.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_R10PHq2AoFBu.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_RlIvvM5aGJwa.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_RmXYkthir1fU.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_RxTM47m6yzni.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Szemc4NK6WNr.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_T8WbPXzZTebJ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_TFlGRQpy2ckm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_TUMUeNaLSJFs.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_TWNmhpH5FvzD.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Tj58jUJwNPoA.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Tose8xws64RQ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_TskcYw3JYEHK.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_UQSJozbh5ZnB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_UehGCkvOhHyD.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_UjVPmn3jV4Pr.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Un181ntu9kCI.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_VreBNCJHfDyB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_W7lb5BIbfLDf.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_WI2EJD9ec2uO.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_WfQjm5odNoWW.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_XLR9PZdzCoSg.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_XdG6IJpy2HGu.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_XkQGFhrIWgVG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Xp8Kqov3LRa8.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_XswHfki5olXx.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Y4NcS9xwARDO.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_YF341Jq7xPMk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_YGy0qR6pHWGm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_YLEYsKVPonfS.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Ye8xlqD69wDN.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_YkK07fZfwpel.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_YotJ95CbRQER.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_Z3XuldnhQQqG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ZUFasGpIXuk.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ZaY0S1anrdep.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ZdhKC1Ouo4oq.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_a0wa6OJpGM7V.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_a6j0OgAXkjg8.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_aNcWRaFIfk5l.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_awahfpJCG4c9.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_azrZyLSXq8JB.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_bJaN0Hi6YyHb.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_bd3xKm3GGC8t.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_cBdMzo9wJNBA.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_cGOcOOCU9Pcr.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_cLvQ5GajcfPd.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_cgQvLJnRRpAG.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ckVu3UOtuy7O.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_cnBiYt5bsH2S.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_d39rrxdDEC5D.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_dHKIVQJnBIFx.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_dV5KnpEg0GHn.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_eN7pahwWVi2G.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_eOw8DJtSkecM.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ekDHKqM61cV3.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_f174RJMAVSdF.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_fAwpOCR2sBZm.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_g7iIX4amR7eh.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_gWeEH6fKQUgP.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_gd4jWInlIuTQ.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_hGdvV4PKP72d.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_hHx3760-S24.mp4: Can't follow symlink without -L/--copy-links
2026/08/06 08:26:05 NOTICE: data/video/HateClipSeg/All/bit_ha0dTPrFC70F.mp4: Can't follow symlink without -L/--copy-links
